ID,DamageReplaceStat,Epic_0,Epic_1,Epic_2,Epic_3,Epic_4,Superior_0,Superior_1,Superior_2,Superior_3,Superior_4,Good_0,Good_1,Good_2,Good_3,Good_4
130,0,79,60,44,34,25,70,53,39,30,22,61,46,34,26,19
131,0,81,60,46,34,25,71,53,40,30,22,62,46,35,26,19
132,0,81,61,46,34,26,71,54,40,30,23,62,47,35,26,20
133,0,82,61,46,34,26,72,54,40,30,23,63,47,35,26,20
134,0,82,61,46,35,26,72,54,40,31,23,63,47,35,27,20
135,0,83,62,47,35,26,74,55,41,31,23,64,48,36,27,20
137,0,85,62,47,35,26,75,55,41,31,23,65,48,36,27,20
138,0,85,64,48,35,27,75,56,43,31,24,65,49,37,27,21
139,0,86,64,48,36,27,76,56,43,32,24,66,49,37,28,21
140,0,86,65,48,36,27,76,58,43,32,24,66,50,37,28,21
141,0,87,65,48,36,27,77,58,43,32,24,67,50,37,28,21
142,0,87,65,49,36,27,77,58,44,32,24,67,50,38,28,21
143,0,88,66,49,36,27,78,59,44,32,24,68,51,38,28,21
144,0,88,66,49,38,29,78,59,44,33,25,68,51,38,29,22
145,0,90,66,51,38,29,79,59,45,33,25,69,51,39,29,22
146,0,90,68,51,38,29,79,60,45,33,25,69,52,39,29,22
147,0,91,68,51,38,29,81,60,45,33,25,70,52,39,29,22
148,0,91,69,51,39,29,81,61,45,35,25,70,53,39,30,22
149,0,92,69,52,39,29,82,61,46,35,25,71,53,40,30,22
151,0,94,70,52,39,30,83,62,46,35,26,72,54,40,30,23
152,0,94,70,53,39,30,83,62,47,35,26,72,54,41,30,23
153,0,95,70,53,40,30,84,62,47,36,26,73,54,41,31,23
154,0,95,72,53,40,30,84,63,47,36,26,73,55,41,31,23
155,0,96,72,53,40,30,85,63,47,36,26,74,55,41,31,23
156,0,96,73,55,40,30,85,64,48,36,26,74,56,42,31,23
157,0,98,73,55,40,31,86,64,48,36,28,75,56,42,31,24
158,0,98,73,55,42,31,86,64,48,37,28,75,56,42,32,24
159,0,99,74,55,42,31,87,66,48,37,28,76,57,42,32,24
160,0,99,74,56,42,31,87,66,49,37,28,76,57,43,32,24
161,0,100,74,56,42,31,89,66,49,37,28,77,57,43,32,24
162,0,100,75,56,42,31,89,67,49,37,28,77,58,43,32,24
163,0,101,75,57,43,33,90,67,51,38,29,78,58,44,33,25
164,0,101,77,57,43,33,90,68,51,38,29,78,59,44,33,25
165,0,103,77,57,43,33,91,68,51,38,29,79,59,44,33,25
167,0,104,78,59,44,33,92,69,52,39,29,80,60,45,34,25
169,0,105,78,59,44,33,93,69,52,39,29,81,60,45,34,25
170,0,105,79,60,44,34,93,70,53,39,30,81,61,46,34,26
171,0,107,79,60,44,34,94,70,53,39,30,82,61,46,34,26
172,0,107,81,60,46,34,94,71,53,40,30,82,62,46,35,26
173,0,108,81,60,46,34,95,71,53,40,30,83,62,46,35,26
174,0,108,81,61,46,34,95,71,54,40,30,83,62,47,35,26
175,0,109,82,61,46,34,97,72,54,40,30,84,63,47,35,26
176,0,109,82,61,46,35,97,72,54,40,31,84,63,47,35,27
177,0,111,82,62,47,35,98,72,55,41,31,85,63,48,36,27
178,0,111,83,62,47,35,98,74,55,41,31,85,64,48,36,27
179,0,112,83,62,47,35,99,74,55,41,31,86,64,48,36,27
180,0,112,85,62,47,35,99,75,55,41,31,86,65,48,36,27
181,0,113,85,64,47,35,100,75,56,41,31,87,65,49,36,27
182,0,113,85,64,48,36,100,75,56,43,32,87,65,49,37,28
183,0,114,86,64,48,36,101,76,56,43,32,88,66,49,37,28
184,0,114,86,65,48,36,101,76,58,43,32,88,66,50,37,28
185,0,116,86,65,48,36,102,76,58,43,32,89,66,50,37,28
186,0,116,87,65,49,36,102,77,58,44,32,89,67,50,38,28
187,0,117,87,65,49,36,104,77,58,44,32,90,67,50,38,28
188,0,117,88,66,49,36,104,78,59,44,32,90,68,51,38,28
189,0,118,88,66,49,38,105,78,59,44,33,91,68,51,38,29
191,0,120,90,66,51,38,106,79,59,45,33,92,69,51,39,29
192,0,120,90,68,51,38,106,79,60,45,33,92,69,52,39,29
193,0,121,90,68,51,38,107,79,60,45,33,93,69,52,39,29
194,0,121,91,68,51,38,107,81,60,45,33,93,70,52,39,29
195,0,122,91,69,51,39,108,81,61,45,35,94,70,53,39,30
196,0,122,92,69,52,39,108,82,61,46,35,94,71,53,40,30
197,0,124,92,69,52,39,109,82,61,46,35,95,71,53,40,30
199,0,125,94,70,52,39,110,83,62,46,35,96,72,54,40,30
200,0,125,94,70,53,39,110,83,62,47,35,96,72,54,41,30
201,0,126,94,70,53,40,112,83,62,47,36,97,72,54,41,31
202,0,126,95,72,53,40,112,84,63,47,36,97,73,55,41,31
203,0,127,95,72,53,40,113,84,63,47,36,98,73,55,41,31
204,0,127,96,72,53,40,113,85,63,47,36,98,74,55,41,31
205,0,129,96,72,55,40,114,85,63,48,36,99,74,55,42,31
206,0,129,96,73,55,40,114,85,64,48,36,99,74,56,42,31
207,0,130,98,73,55,40,115,86,64,48,36,100,75,56,42,31
208,0,130,98,73,55,42,115,86,64,48,37,100,75,56,42,32
209,0,131,98,74,55,42,116,86,66,48,37,101,75,57,42,32
210,0,131,99,74,56,42,116,87,66,49,37,101,76,57,43,32
211,0,133,99,74,56,42,117,87,66,49,37,102,76,57,43,32
212,0,133,100,74,56,42,117,89,66,49,37,102,77,57,43,32
213,0,134,100,75,56,42,118,89,67,49,37,103,77,58,43,32
214,0,134,100,75,56,43,118,89,67,49,38,103,77,58,43,33
215,0,135,101,75,57,43,120,90,67,51,38,104,78,58,44,33
216,0,135,101,77,57,43,120,90,68,51,38,104,78,59,44,33
217,0,137,101,77,57,43,121,90,68,51,38,105,78,59,44,33
218,0,137,103,77,57,43,121,91,68,51,38,105,79,59,44,33
219,0,138,103,77,59,43,122,91,68,52,38,106,79,59,45,33
220,0,138,104,78,59,44,122,92,69,52,39,106,80,60,45,34
221,0,139,104,78,59,44,123,92,69,52,39,107,80,60,45,34
223,0,140,105,78,59,44,124,93,69,52,39,108,81,60,45,34
224,0,140,105,79,60,44,124,93,70,53,39,108,81,61,46,34
225,0,142,105,79,60,44,125,93,70,53,39,109,81,61,46,34
226,0,142,107,79,60,44,125,94,70,53,39,109,82,61,46,34
227,0,143,107,81,60,46,127,94,71,53,40,110,82,62,46,35
228,0,143,108,81,60,46,127,95,71,53,40,110,83,62,46,35
229,0,144,108,81,61,46,128,95,71,54,40,111,83,62,47,35
231,0,146,109,82,61,46,129,97,72,54,40,112,84,63,47,35
233,0,147,109,82,61,47,130,97,72,54,41,113,84,63,47,36
234,0,147,111,83,62,47,130,98,74,55,41,113,85,64,48,36
235,0,148,111,83,62,47,131,98,74,55,41,114,85,64,48,36
236,0,148,112,83,62,47,131,99,74,55,41,114,86,64,48,36
237,0,150,112,83,62,47,132,99,74,55,41,115,86,64,48,36
238,0,150,112,85,64,47,132,99,75,56,41,115,86,65,49,36
239,0,151,113,85,64,48,133,100,75,56,43,116,87,65,49,37
241,0,152,113,86,64,48,135,100,76,56,43,117,87,66,49,37
242,0,152,114,86,64,48,135,101,76,56,43,117,88,66,49,37
243,0,153,114,86,65,48,136,101,76,58,43,118,88,66,50,37
244,0,153,116,86,65,48,136,102,76,58,43,118,89,66,50,37
245,0,155,116,87,65,48,137,102,77,58,43,119,89,67,50,37
246,0,155,116,87,65,49,137,102,77,58,44,119,89,67,50,38
247,0,156,117,87,65,49,138,104,77,58,44,120,90,67,50,38
248,0,156,117,88,66,49,138,104,78,59,44,120,90,68,51,38
249,0,157,117,88,66,49,139,104,78,59,44,121,90,68,51,38
250,0,157,118,88,66,49,139,105,78,59,44,121,91,68,51,38
251,0,159,118,88,66,49,140,105,78,59,44,122,91,68,51,38
252,0,159,120,90,66,51,140,106,79,59,45,122,92,69,51,39
253,0,160,120,90,68,51,141,106,79,60,45,123,92,69,52,39
255,0,161,121,90,68,51,143,107,79,60,45,124,93,69,52,39
256,0,161,121,91,68,51,143,107,81,60,45,124,93,70,52,39
257,0,163,121,91,69,51,144,107,81,61,45,125,93,70,53,39
258,0,163,122,91,69,52,144,108,81,61,46,125,94,70,53,40
259,0,164,122,92,69,52,145,108,82,61,46,126,94,71,53,40
260,0,164,124,92,69,52,145,109,82,61,46,126,95,71,53,40
261,0,165,124,92,69,52,146,109,82,61,46,127,95,71,53,40
262,0,165,124,92,70,52,146,109,82,62,46,127,95,71,54,40
263,0,166,125,94,70,52,147,110,83,62,46,128,96,72,54,40
264,0,166,125,94,70,53,147,110,83,62,47,128,96,72,54,41
265,0,168,125,94,70,53,148,110,83,62,47,129,96,72,54,41
266,0,168,126,95,70,53,148,112,84,62,47,129,97,73,54,41
267,0,169,126,95,72,53,150,112,84,63,47,130,97,73,55,41
268,0,169,127,95,72,53,150,113,84,63,47,130,98,73,55,41
269,0,170,127,95,72,53,151,113,84,63,47,131,98,73,55,41
270,0,170,127,96,72,53,151,113,85,63,47,131,98,74,55,41
271,0,172,129,96,72,55,152,114,85,63,48,132,99,74,55,42
272,0,172,129,96,73,55,152,114,85,64,48,132,99,74,56,42
273,0,173,129,98,73,55,153,114,86,64,48,133,99,75,56,42
274,0,173,130,98,73,55,153,115,86,64,48,133,100,75,56,42
275,0,174,130,98,73,55,154,115,86,64,48,134,100,75,56,42
276,0,174,131,98,74,55,154,116,86,66,48,134,101,75,57,42
277,0,176,131,99,74,56,155,116,87,66,49,135,101,76,57,43
279,0,177,133,99,74,56,156,117,87,66,49,136,102,76,57,43
280,0,177,133,100,74,56,156,117,89,66,49,136,102,77,57,43
281,0,178,133,100,75,56,158,117,89,67,49,137,102,77,58,43
282,0,178,134,100,75,56,158,118,89,67,49,137,103,77,58,43
283,0,179,134,100,75,57,159,118,89,67,51,138,103,77,58,44
284,0,179,135,101,75,57,159,120,90,67,51,138,104,78,58,44
285,0,181,135,101,75,57,160,120,90,67,51,139,104,78,58,44
286,0,181,135,101,77,57,160,120,90,68,51,139,104,78,59,44
287,0,182,137,101,77,57,161,121,90,68,51,140,105,78,59,44
288,0,182,137,103,77,57,161,121,91,68,51,140,105,79,59,44
289,0,183,137,103,77,57,162,121,91,68,51,141,105,79,59,44
290,0,183,138,103,77,59,162,122,91,68,52,141,106,79,59,45
291,0,185,138,104,78,59,163,122,92,69,52,142,106,80,60,45
292,0,185,139,104,78,59,163,123,92,69,52,142,107,80,60,45
293,0,186,139,104,78,59,164,123,92,69,52,143,107,80,60,45
295,0,187,140,105,79,59,166,124,93,70,52,144,108,81,61,45
296,0,187,140,105,79,60,166,124,93,70,53,144,108,81,61,46
297,0,189,140,105,79,60,167,124,93,70,53,145,108,81,61,46
298,0,189,142,107,79,60,167,125,94,70,53,145,109,82,61,46
299,0,190,142,107,79,60,168,125,94,70,53,146,109,82,61,46
300,0,190,143,107,81,60,168,127,94,71,53,146,110,82,62,46
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,77,57,43,33,25,68,51,38,29,22,59,44,33,25,19
136,0,83,62,47,35,26,74,55,41,31,23,64,48,36,27,20
150,0,92,69,52,39,29,82,61,46,35,25,71,53,40,30,22
166,0,103,77,57,43,33,91,68,51,38,29,79,59,44,33,25
168,0,104,78,59,44,33,92,69,52,39,29,80,60,45,34,25
190,0,118,88,66,49,38,105,78,59,44,33,91,68,51,38,29
198,0,124,92,69,52,39,109,82,61,46,35,95,71,53,40,30
222,0,139,104,78,59,44,123,92,69,52,39,107,80,60,45,34
230,0,144,108,81,61,46,128,95,71,54,40,111,83,62,47,35
232,0,146,109,82,61,46,129,97,72,54,40,112,84,63,47,35
240,0,151,113,85,64,48,133,100,75,56,43,116,87,65,49,37
254,0,160,120,90,68,51,141,106,79,60,45,123,92,69,52,39
278,0,176,131,99,74,56,155,116,87,66,49,135,101,76,57,43
294,0,186,139,104,78,59,164,123,92,69,52,143,107,80,60,45
